adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
35,1.0,0.2,4.0,3.0,11,6,5,0,6,5,54.5,12.51,-2.47,5.07
33,1.0,0.5,3.0,3.0,13,7,6,0,7,6,53.8,12.42,-3.58,3.47
33,1.0,0.5,4.0,3.0,13,7,6,0,7,6,53.8,12.42,-3.58,3.47
35,0.9,0.5,4.0,3.0,11,6,5,0,6,5,54.5,12.39,-2.52,4.92
35,0.9,0.5,3.0,3.0,11,6,5,0,6,5,54.5,12.39,-2.52,4.92
33,0.9,0.2,3.0,2.0,14,9,5,0,9,5,64.3,12.23,-3.64,3.36
33,0.9,0.2,2.0,2.0,14,9,5,0,9,5,64.3,12.23,-3.64,3.36
33,0.9,0.2,4.0,2.0,14,9,5,0,9,5,64.3,12.23,-3.64,3.36
33,1.2,0.2,2.0,2.0,13,10,3,0,10,3,76.9,12.22,-2.33,5.25
33,1.2,0.2,3.0,2.0,13,10,3,0,10,3,76.9,12.22,-2.33,5.25
33,1.2,0.2,4.0,2.0,13,10,3,0,10,3,76.9,12.22,-2.33,5.25
35,1.2,0.2,4.0,2.0,11,9,2,0,9,2,81.8,12.06,-1.36,8.84
35,1.2,0.2,2.0,2.0,11,9,2,0,9,2,81.8,12.06,-1.36,8.84
35,1.2,0.2,3.0,2.0,11,9,2,0,9,2,81.8,12.06,-1.36,8.84
33,1.1,0.3,3.0,3.0,13,7,6,0,7,6,53.8,12.03,-3.52,3.42
33,1.1,0.3,4.0,3.0,13,7,6,0,7,6,53.8,12.03,-3.52,3.42
33,0.9,0.2,2.0,3.0,14,9,5,8,1,5,64.3,11.99,-3.64,3.29
33,1.2,0.2,2.0,3.0,13,10,3,9,1,3,76.9,11.96,-2.33,5.14
33,0.9,0.3,2.0,3.0,14,9,5,8,1,5,64.3,11.87,-3.64,3.26
33,1.2,0.3,2.0,3.0,13,10,3,9,1,3,76.9,11.87,-2.33,5.11
35,1.0,0.3,3.0,3.0,11,6,5,0,6,5,54.5,11.85,-2.47,4.81
35,1.0,0.3,4.0,3.0,11,6,5,0,6,5,54.5,11.85,-2.47,4.81
28,1.5,0.2,4.0,2.0,26,17,9,0,17,9,65.4,11.71,-3.54,3.31
28,1.5,0.2,3.0,2.0,26,17,9,0,17,9,65.4,11.71,-3.54,3.31
28,1.5,0.2,2.0,2.0,26,17,9,0,17,9,65.4,11.71,-3.54,3.31
33,1.2,0.5,2.0,3.0,13,10,3,9,1,3,76.9,11.69,-2.33,5.03
35,0.9,0.2,2.0,2.0,12,8,4,0,8,4,66.7,11.66,-2.52,4.63
35,0.9,0.2,3.0,2.0,12,8,4,0,8,4,66.7,11.66,-2.52,4.63
35,0.9,0.2,4.0,2.0,12,8,4,0,8,4,66.7,11.66,-2.52,4.63
35,1.2,0.2,2.0,3.0,11,9,2,8,1,2,81.8,11.65,-1.36,8.54
33,0.9,0.5,2.0,3.0,14,9,5,8,1,5,64.3,11.63,-3.64,3.19
35,1.5,0.2,4.0,2.0,11,10,1,0,10,1,90.9,11.56,-1.18,9.81
35,1.2,0.3,2.0,3.0,11,9,2,8,1,2,81.8,11.56,-1.36,8.47
35,1.5,0.2,3.0,2.0,11,10,1,0,10,1,90.9,11.56,-1.18,9.81
35,1.5,0.2,2.0,2.0,11,10,1,0,10,1,90.9,11.56,-1.18,9.81
33,1.2,0.7,2.0,3.0,13,10,3,9,1,3,76.9,11.51,-2.33,4.95
28,1.5,0.2,2.0,3.0,26,17,9,13,4,9,65.4,11.47,-3.54,3.24
33,1.5,0.2,4.0,2.0,13,11,2,0,11,2,84.6,11.46,-2.26,5.07
33,1.5,0.2,2.0,2.0,13,11,2,0,11,2,84.6,11.46,-2.26,5.07
33,1.5,0.2,3.0,2.0,13,11,2,0,11,2,84.6,11.46,-2.26,5.07
33,1.5,0.2,2.0,3.0,13,11,2,10,1,2,84.6,11.4,-2.26,5.05
33,0.9,0.7,2.0,3.0,14,9,5,8,1,5,64.3,11.39,-3.64,3.13
35,1.2,0.5,2.0,3.0,11,9,2,8,1,2,81.8,11.37,-1.36,8.34
